instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_cluster
1,2011-01-01,Spring,2011,January,0,No,Saturday,Weekend/Holiday,Clear/Cloudy,9.84,14.395,81.0,0.0,3,13,16,Night
2,2011-01-01,Spring,2011,January,1,No,Saturday,Weekend/Holiday,Clear/Cloudy,9.02,13.635,80.0,0.0,8,32,40,Night
3,2011-01-01,Spring,2011,January,2,No,Saturday,Weekend/Holiday,Clear/Cloudy,9.02,13.635,80.0,0.0,5,27,32,Night
4,2011-01-01,Spring,2011,January,3,No,Saturday,Weekend/Holiday,Clear/Cloudy,9.84,14.395,75.0,0.0,3,10,13,Night
5,2011-01-01,Spring,2011,January,4,No,Saturday,Weekend/Holiday,Clear/Cloudy,9.84,14.395,75.0,0.0,0,1,1,Night
6,2011-01-01,Spring,2011,January,5,No,Saturday,Weekend/Holiday,Mist/Cloudy,9.84,12.879999999999999,75.0,6.0032,0,1,1,Night
7,2011-01-01,Spring,2011,January,6,No,Saturday,Weekend/Holiday,Clear/Cloudy,9.02,13.635,80.0,0.0,2,0,2,Morning
8,2011-01-01,Spring,2011,January,7,No,Saturday,Weekend/Holiday,Clear/Cloudy,8.200000000000001,12.879999999999999,86.0,0.0,1,2,3,Morning
9,2011-01-01,Spring,2011,January,8,No,Saturday,Weekend/Holiday,Clear/Cloudy,9.84,14.395,75.0,0.0,1,7,8,Morning
10,2011-01-01,Spring,2011,January,9,No,Saturday,Weekend/Holiday,Clear/Cloudy,13.120000000000001,17.424999999999997,76.0,0.0,8,6,14,Morning
11,2011-01-01,Spring,2011,January,10,No,Saturday,Weekend/Holiday,Clear/Cloudy,15.58,19.695,76.0,16.997899999999998,12,24,36,Morning
12,2011-01-01,Spring,2011,January,11,No,Saturday,Weekend/Holiday,Clear/Cloudy,14.76,16.665,81.0,19.0012,26,30,56,Morning
13,2011-01-01,Spring,2011,January,12,No,Saturday,Weekend/Holiday,Clear/Cloudy,17.22,21.21,77.0,19.0012,29,55,84,Afternoon
14,2011-01-01,Spring,2011,January,13,No,Saturday,Weekend/Holiday,Mist/Cloudy,18.86,22.725,72.0,19.999499999999998,47,47,94,Afternoon
15,2011-01-01,Spring,2011,January,14,No,Saturday,Weekend/Holiday,Mist/Cloudy,18.86,22.725,72.0,19.0012,35,71,106,Afternoon
